t	y1	y2
0	0.707107	0
0.0769231	0.677413	0.0522115
0.153846	0.643218	0.0997445
0.230769	0.605306	0.142219
0.307692	0.564494	0.179387
0.384615	0.521603	0.211131
0.461538	0.477436	0.23746
0.538462	0.432746	0.258497
0.615385	0.388225	0.274462
0.692308	0.344486	0.285656
0.769231	0.302055	0.292444
0.846154	0.261369	0.295229
0.923077	0.222777	0.294443
1	0.186543	0.290527
1.07692	0.152852	0.283919
1.15385	0.12182	0.275044
1.23077	0.0935006	0.264307
1.30769	0.0678958	0.252084
1.38462	0.0449641	0.238725
1.46154	0.0246284	0.224543
1.53846	0.00678409	0.20982
1.61538	-0.00869467	0.194807
1.69231	-0.0219489	0.17972
1.76923	-0.0331299	0.164745
1.84615	-0.0423948	0.150042
1.92308	-0.0499033	0.135741
2	-0.0558143	0.12195
2.07692	-0.0602843	0.108756
2.15385	-0.0634648	0.0962223
2.23077	-0.0655013	0.0843987
2.30769	-0.0665322	0.0733177
2.38462	-0.0666879	0.0629985
2.46154	-0.0660904	0.0534485
2.53846	-0.064853	0.0446652
2.61538	-0.06308	0.0366374
2.69231	-0.0608672	0.0293471
2.76923	-0.0583013	0.0227703
2.84615	-0.0554609	0.0168782
2.92308	-0.0524165	0.0116388
3	-0.0492305	0.00701684
3.07692	-0.0459582	0.00297557
3.15385	-0.0426479	-0.000523182
3.23077	-0.0393414	-0.00351814
3.30769	-0.0360746	-0.00604809
3.38462	-0.0328777	-0.00815146
3.46154	-0.0297759	-0.00986588
3.53846	-0.0267897	-0.0112279
3.61538	-0.0239354	-0.0122729
3.69231	-0.0212255	-0.0130344
3.76923	-0.0186692	-0.0135446
3.84615	-0.0162727	-0.0138337
3.92308	-0.0140395	-0.0139299
4	-0.0119707	-0.0138598
4.07692	-0.0100657	-0.0136478
4.15385	-0.00832189	-0.0133164
4.23077	-0.00673554	-0.0128864
4.30769	-0.00530153	-0.0123765
4.38462	-0.00401389	-0.0118036
4.46154	-0.00286584	-0.0111831
4.53846	-0.00185008	-0.0105285
4.61538	-0.000958872	-0.00985189
4.69231	-0.00018423	-0.00916378
4.76923	0.000481978	-0.00847336
4.84615	0.00104791	-0.00778853
4.92308	0.00152166	-0.00711601
5	0.00191119	-0.0064614
