t	u1	u2
0	0.707107	0
0.0769231	0.677413	0.0522117
0.153846	0.643218	0.0997448
0.230769	0.605305	0.142219
0.307692	0.564493	0.179387
0.384615	0.521602	0.211131
0.461538	0.477435	0.23746
0.538462	0.432745	0.258496
0.615385	0.388224	0.274461
0.692308	0.344485	0.285655
0.769231	0.302054	0.292442
0.846154	0.261369	0.295227
0.923077	0.222777	0.294441
1	0.186544	0.290524
1.07692	0.152853	0.283916
1.15385	0.121821	0.275041
1.23077	0.0935019	0.264303
1.30769	0.0678975	0.252081
1.38462	0.0449661	0.238721
1.46154	0.0246308	0.224539
1.53846	0.00678676	0.209817
1.61538	-0.00869173	0.194804
1.69231	-0.0219458	0.179717
1.76923	-0.0331265	0.164743
1.84615	-0.0423913	0.150039
1.92308	-0.0498996	0.135739
2	-0.0558106	0.121948
2.07692	-0.0602805	0.108754
2.15385	-0.063461	0.0962206
2.23077	-0.0654975	0.0843973
2.30769	-0.0665285	0.0733166
2.38462	-0.0666842	0.0629976
2.46154	-0.0660868	0.0534478
2.53846	-0.0648495	0.0446647
2.61538	-0.0630767	0.0366371
2.69231	-0.0608639	0.029347
2.76923	-0.0582982	0.0227703
2.84615	-0.055458	0.0168784
2.92308	-0.0524137	0.0116391
3	-0.0492279	0.00701726
3.07692	-0.0459557	0.00297609
3.15385	-0.0426456	-0.000522584
3.23077	-0.0393393	-0.00351747
3.30769	-0.0360727	-0.00604737
3.38462	-0.0328759	-0.00815069
3.46154	-0.0297743	-0.00986508
3.53846	-0.0267882	-0.0112271
3.61538	-0.023934	-0.0122721
3.69231	-0.0212243	-0.0130336
3.76923	-0.0186681	-0.0135438
3.84615	-0.0162717	-0.0138328
3.92308	-0.0140386	-0.0139291
4	-0.0119699	-0.013859
4.07692	-0.0100649	-0.013647
4.15385	-0.00832127	-0.0133157
4.23077	-0.00673499	-0.0128857
4.30769	-0.00530106	-0.0123758
4.38462	-0.00401348	-0.011803
4.46154	-0.0028655	-0.0111825
4.53846	-0.00184979	-0.010528
4.61538	-0.000958634	-0.00985136
4.69231	-0.000184035	-0.00916328
4.76923	0.000482134	-0.00847289
4.84615	0.00104803	-0.0077881
4.92308	0.00152176	-0.00711561
5	0.00191126	-0.00646103
